Salary,Title
33280,Data Analyst
36400,Data Scientist
36400,Data Scientist
36400,Business Analyst
41600,Data Engineer
43264,Data Analyst
43264,Data Analyst
43264,Data Scientist
48506,Business Analyst
49920,Data Scientist
49920,Data Engineer
50211,Database Administrator
52000,Data Engineer
52000,Data Engineer
52000,Machine Learning Engineer
54600,Business Analyst
56160,Data Analyst
57200,Business Intelligence Developer
57200,Business Intelligence Developer
57200,Business Analyst
57200,Business Analyst
57200,Data Analyst
57200,Data Engineer
57200,Business Intelligence Developer
57491,Data Scientist
60008,Data Analyst
60320,Business Analyst
60320,Business Analyst
61360,Machine Learning Engineer
62400,Data Scientist
62400,Data Engineer
62400,Database Administrator
62400,Business Analyst
62504,Business Analyst
62795,Database Administrator
63440,Database Administrator
64480,Database Administrator
65000,Data Engineer
67496,Business Intelligence Developer
67496,Business Analyst
67496,Business Analyst
67600,Data Engineer
67600,Business Analyst
67600,Business Analyst
69680,Database Administrator
69680,Business Analyst
69992,Business Analyst
69992,Business Analyst
69992,Business Analyst
69992,Business Analyst
69992,Business Analyst
70720,Data Analyst
71760,Business Analyst
72509,Business Analyst
72509,Business Analyst
72509,Data Scientist
72509,Business Analyst
72509,Business Analyst
72800,Business Analyst
72800,Business Analyst
72800,Data Scientist
72800,Data Engineer
72800,Business Analyst
72800,Data Engineer
74298,Data Analyst
74880,Database Administrator
74880,Database Administrator
75005,Business Analyst
75005,Database Administrator
75005,Data Analyst
75005,Business Analyst
75920,Database Administrator
75920,Business Analyst
77501,Data Analyst
78000,Machine Learning Engineer
78000,Data Scientist
78354,Business Analyst
79019,Data Analyst
79019,Data Analyst
79997,Business Intelligence Developer
79997,Business Intelligence Developer
79997,Database Administrator
80080,Business Analyst
81973,Business Analyst
81973,Business Intelligence Developer
82493,Business Intelligence Developer
82493,Business Analyst
83200,Data Analyst
83200,Database Administrator
84198,Database Administrator
85280,Data Engineer
85925,Business Intelligence Developer
85925,Business Intelligence Developer
86008,Business Intelligence Developer
86008,Business Analyst
86008,Business Analyst
86320,Business Analyst
86507,Database Administrator
86528,Data Scientist
86528,Machine Learning Engineer
86528,Business Intelligence Developer
86528,Data Engineer
86528,Business Analyst
87194,Business Intelligence Developer
88005,Business Analyst
88067,Data Scientist
90002,Business Analyst
90002,Business Intelligence Developer
90002,Business Analyst
90002,Business Intelligence Developer
90002,Data Scientist
90480,Business Analyst
91000,Data Scientist
91000,Data Scientist
91520,Business Analyst
91874,Database Administrator
92206,Machine Learning Engineer
92456,Database Administrator
93454,Database Administrator
93496,Data Scientist
93600,Data Engineer
93600,Business Intelligence Developer
93600,Data Analyst
93600,Data Analyst
93600,Business Analyst
93600,Business Intelligence Developer
93995,Data Scientist
94349,Data Scientist
94619,Machine Learning Engineer
94619,Machine Learning Engineer
94994,Data Engineer
94994,Data Engineer
96158,Database Administrator
96262,Business Intelligence Developer
97510,Database Administrator
97510,Data Engineer
98800,Database Administrator
100006,Data Engineer
100006,Business Intelligence Developer
100006,Business Intelligence Developer
100506,Data Analyst
101254,Business Intelligence Developer
102045,Data Scientist
102419,Business Intelligence Developer
102502,Business Intelligence Developer
102502,Database Administrator
102502,Database Administrator
102606,Data Engineer
102710,Data Engineer
102710,Data Engineer
104000,Data Engineer
104000,Data Scientist
104998,Business Analyst
104998,Machine Learning Engineer
105997,Business Intelligence Developer
106995,Data Scientist
107494,Machine Learning Engineer
107494,Database Administrator
108160,Data Engineer
109574,Business Intelligence Developer
109990,Business Intelligence Developer
111426,Business Analyst
112320,Data Engineer
112507,Data Engineer
114275,Data Engineer
114400,Business Analyst
114400,Business Analyst
