Salary,Title
33280,Data Analyst
36400,Data Scientist
36400,Data Scientist
43264,Data Analyst
43264,Data Analyst
43264,Data Scientist
48506,Business Analyst
50211,Database Administrator
52000,Machine Learning Engineer
54600,Business Analyst
57200,Business Intelligence Developer
57200,Business Intelligence Developer
57200,Business Analyst
57200,Business Intelligence Developer
60008,Data Analyst
60320,Business Analyst
60320,Business Analyst
62400,Database Administrator
63440,Database Administrator
65000,Data Engineer
67496,Business Intelligence Developer
69680,Database Administrator
69992,Business Analyst
72509,Business Analyst
74298,Data Analyst
74880,Database Administrator
74880,Database Administrator
75005,Database Administrator
81973,Business Analyst
81973,Business Intelligence Developer
82493,Business Intelligence Developer
82493,Business Analyst
86008,Business Intelligence Developer
86507,Database Administrator
86528,Data Scientist
86528,Data Engineer
87194,Business Intelligence Developer
90002,Data Scientist
90480,Business Analyst
91520,Business Analyst
93454,Database Administrator
93600,Business Intelligence Developer
93600,Business Intelligence Developer
94349,Data Scientist
100006,Business Intelligence Developer
102045,Data Scientist
102419,Business Intelligence Developer
102710,Data Engineer
102710,Data Engineer
104998,Business Analyst
105997,Business Intelligence Developer
109574,Business Intelligence Developer
109990,Business Intelligence Developer
114275,Data Engineer
114400,Business Analyst
114400,Business Analyst
115003,Data Analyst
117499,Data Scientist
117499,Machine Learning Engineer
119600,Data Analyst
119600,Data Engineer
119600,Data Analyst
119621,Business Intelligence Developer
119621,Business Intelligence Developer
119621,Business Intelligence Developer
122304,Database Administrator
123240,Data Scientist
125486,Data Scientist
126402,Business Intelligence Developer
129792,Data Scientist
130000,Data Scientist
130000,Data Engineer
130000,Business Analyst
130000,Business Analyst
132496,Data Scientist
134160,Data Analyst
134992,Machine Learning Engineer
135200,Business Analyst
136240,Data Engineer
137363,Data Engineer
137363,Data Engineer
140400,Data Engineer
140400,Business Analyst
141731,Database Administrator
141731,Database Administrator
144997,Business Analyst
144997,Data Engineer
144997,Business Analyst
147680,Data Engineer
150010,Machine Learning Engineer
150259,Data Scientist
150259,Data Scientist
150800,Data Engineer
150800,Data Engineer
150800,Data Engineer
152880,Database Administrator
155002,Machine Learning Engineer
155002,Data Scientist
156000,Database Administrator
165006,Data Engineer
165006,Data Engineer
165360,Database Administrator
166400,Data Engineer
171600,Business Analyst
173056,Data Engineer
174990,Data Scientist
174990,Data Scientist
185557,Machine Learning Engineer
190008,Data Scientist
209498,Data Scientist
