Salary,Title
36400,Business Analyst
41600,Data Engineer
49920,Data Scientist
49920,Data Engineer
52000,Data Engineer
52000,Data Engineer
56160,Data Analyst
57200,Business Analyst
57200,Data Engineer
57491,Data Scientist
61360,Machine Learning Engineer
62400,Data Scientist
62400,Data Engineer
62400,Business Analyst
62504,Business Analyst
62795,Database Administrator
64480,Database Administrator
67496,Business Analyst
67496,Business Analyst
67600,Data Engineer
67600,Business Analyst
67600,Business Analyst
69680,Business Analyst
69992,Business Analyst
69992,Business Analyst
69992,Business Analyst
69992,Business Analyst
70720,Data Analyst
71760,Business Analyst
72509,Business Analyst
72509,Business Analyst
72509,Data Scientist
72509,Business Analyst
72800,Business Analyst
72800,Business Analyst
72800,Data Scientist
72800,Business Analyst
72800,Data Engineer
75005,Business Analyst
75005,Data Analyst
75005,Business Analyst
75920,Database Administrator
75920,Business Analyst
77501,Data Analyst
78000,Machine Learning Engineer
78000,Data Scientist
79019,Data Analyst
79019,Data Analyst
79997,Business Intelligence Developer
79997,Business Intelligence Developer
79997,Database Administrator
80080,Business Analyst
83200,Data Analyst
83200,Database Administrator
84198,Database Administrator
85280,Data Engineer
85925,Business Intelligence Developer
85925,Business Intelligence Developer
86008,Business Analyst
86008,Business Analyst
86320,Business Analyst
86528,Machine Learning Engineer
86528,Business Intelligence Developer
86528,Business Analyst
88005,Business Analyst
88067,Data Scientist
90002,Business Analyst
90002,Business Intelligence Developer
91000,Data Scientist
91000,Data Scientist
92206,Machine Learning Engineer
92456,Database Administrator
93496,Data Scientist
93600,Data Engineer
93600,Data Analyst
93600,Data Analyst
93600,Business Analyst
93995,Data Scientist
94619,Machine Learning Engineer
94619,Machine Learning Engineer
94994,Data Engineer
94994,Data Engineer
96158,Database Administrator
96262,Business Intelligence Developer
97510,Database Administrator
97510,Data Engineer
98800,Database Administrator
100006,Data Engineer
100506,Data Analyst
101254,Business Intelligence Developer
102502,Business Intelligence Developer
102502,Database Administrator
102502,Database Administrator
102606,Data Engineer
104000,Data Engineer
104000,Data Scientist
104998,Machine Learning Engineer
106995,Data Scientist
107494,Machine Learning Engineer
107494,Database Administrator
108160,Data Engineer
111426,Business Analyst
112320,Data Engineer
112507,Data Engineer
114400,Data Engineer
114400,Data Engineer
114400,Business Analyst
115003,Data Engineer
115003,Data Engineer
117312,Data Scientist
117312,Data Scientist
117499,Machine Learning Engineer
118560,Business Analyst
119600,Data Engineer
119600,Business Analyst
119600,Data Analyst
119600,Data Engineer
119995,Data Engineer
119995,Business Intelligence Developer
120141,Data Scientist
120141,Data Scientist
123198,Data Engineer
123198,Data Engineer
123760,Data Analyst
124800,Business Analyst
124800,Data Engineer
124800,Business Intelligence Developer
124800,Data Engineer
124800,Data Analyst
125008,Data Engineer
127504,Data Scientist
127504,Data Engineer
127920,Business Analyst
129792,Data Engineer
129792,Data Scientist
129792,Business Analyst
129792,Machine Learning Engineer
130000,Data Engineer
130000,Data Engineer
130000,Business Intelligence Developer
130000,Business Analyst
130000,Business Analyst
130000,Machine Learning Engineer
133120,Business Analyst
135013,Data Scientist
135200,Data Analyst
135200,Data Engineer
135200,Data Engineer
137280,Data Engineer
137384,Data Engineer
137384,Data Engineer
137384,Data Engineer
137696,Data Engineer
137696,Data Engineer
140005,Machine Learning Engineer
140005,Data Engineer
140400,Business Analyst
140400,Business Analyst
140400,Data Engineer
142501,Data Engineer
144622,Data Engineer
146640,Business Analyst
148720,Business Analyst
150800,Machine Learning Engineer
150800,Data Engineer
150800,Data Engineer
150800,Business Analyst
151840,Business Intelligence Developer
152880,Machine Learning Engineer
152880,Machine Learning Engineer
154606,Machine Learning Engineer
155002,Data Scientist
155022,Machine Learning Engineer
155022,Machine Learning Engineer
155397,Data Engineer
157997,Data Scientist
161200,Business Analyst
162240,Data Analyst
162240,Data Analyst
162490,Database Administrator
162490,Data Scientist
162490,Database Administrator
162490,Database Administrator
162490,Database Administrator
162490,Database Administrator
164320,Data Engineer
166400,Machine Learning Engineer
166400,Business Analyst
166400,Data Scientist
166400,Machine Learning Engineer
166400,Data Scientist
166400,Machine Learning Engineer
173056,Data Scientist
187200,Data Engineer
194106,Machine Learning Engineer
194106,Machine Learning Engineer
208000,Business Analyst
208000,Business Analyst
215010,Data Scientist
